CRName  Row  Col  Date  Type  
CS 723   10   0   0.31   H   
CS 776   10   0   0.31   H   
CS 791   10   0   0.31   H   
CS 795   10   0   0.31   H   
CS 796   10   0   0.31   H   
CS 822   10   0   0.31   H   
CS 823   10   0   0.31   H   
CS 876   10   0   0.31   H   
CS 891   10   0   0.31   H   
CS 895   10   0   0.31   H   
CS 896   10   0   0.31   H   
CS 899   10   0   0.31   H   
CS 999   10   0   0.31   H   
CS 120G   11   0   0.32   H   
CS 121G   11   0   0.32   H   
CS 129   11   0   0.32   H   
CS 150   11   0   0.32   H   
CS 170   11   0   0.32   H   
CS 229   11   0   0.32   H   
CS 250   11   0   0.32   H   
CS 252   11   0   0.32   H   
CS 270   11   0   0.32   H   
CS 300T   11   0   0.32   H   
CS 312   11   0   0.32   H   
CS 330   11   0   0.32   H   
CS 334   11   0   0.32   H   
CS 350   11   0   0.32   H   
CS 355   11   0   0.32   H   
CS 361   11   0   0.32   H   
CS 367   11   0   0.32   H   
CS 368   11   0   0.32   H   
CS 381   11   0   0.32   H   
CS 382   11   0   0.32   H   
CS 390   11   0   0.32   H   
CS 395   11   0   0.32   H   
CS 402   11   0   0.32   H   
CS 410   11   0   0.32   H   
CS 411W   11   0   0.32   H   
CS 417   11   0   0.32   H   
CS 418   11   0   0.32   H   
CS 432   11   0   0.32   H   
CS 450   11   0   0.32   H   
CS 455   11   0   0.32   H   
CS 460   11   0   0.32   H   
CS 462   11   0   0.32   H   
CS 463   11   0   0.32   H   
CS 464   11   0   0.32   H   
CS 467   11   0   0.32   H   
CS 471   11   0   0.32   H   
CS 480   11   0   0.32   H   
CS 497   11   0   0.32   H   
CS 500   11   0   0.32   H   
CS 502   11   0   0.32   H   
CS 517   11   0   0.32   H   
CS 518   11   0   0.32   H   
CS 532   11   0   0.32   H   
CS 550   11   0   0.32   H   
CS 555   11   0   0.32   H   
CS 562   11   0   0.32   H   
CS 563   11   0   0.32   H   
CS 564   11   0   0.32   H   
CS 567   11   0   0.32   H   
CS 580   11   0   0.32   H   
CS 597   11   0   0.32   H   
CS 620   11   0   0.32   H   
CS 625   11   0   0.32   H   
CS 665   11   0   0.32   H   
CS 667   11   0   0.32   H   
